"index","CASE_NO","PETITIONER","RESPONDENT","DATE_OF_JUDGMENT","BENCH","JUDGMENT"
"77","Appeal (criminal) 4936 of 2023","Sanjay Dutt","State of Rajasthan","2024-01-07","Justice A. Rao, Justice R. Khanna","J U D G M E N T CRIMINAL APPEAL NO. 4936 OF 2023. The appellant was convicted for conspiracy to commit fraud. The court dismissed the appeal, reinforcing the importance of accountability in financial crimes."
"78","Appeal (civil) 7634 of 2020","ICICI Lombard General Insurance","Insurance Regulatory and Development Authority","2021-08-14","Justice H. Choudhury, Justice T. Sinha","J U D G M E N T CIVIL APPEAL NO. 7634 OF 2020. The petitioner challenged the imposition of penalties for non-compliance with insurance norms. The court dismissed the appeal, stating that adherence to regulations is crucial for public trust."
"79","Appeal (criminal) 3542 of 2022","Amit Patil","State of Madhya Pradesh","2023-07-19","Justice P. Kumar, Justice R. Tripathi","J U D G M E N T CRIMINAL APPEAL NO. 3542 OF 2022. The appellant sought relief in a case of financial embezzlement. The court granted conditional bail pending further investigation."
"80","Appeal (civil) 2987 of 2023","Tata Steel Limited","Ministry of Mines","2024-02-10","Justice L. Malhotra, Justice D. Gupta","J U D G M E N T CIVIL APPEAL NO. 2987 OF 2023. The petitioner challenged the rejection of a mining lease application. The court ruled in favor of the appellant, emphasizing the need for transparency in administrative decisions."
"81","Appeal (criminal) 6705 of 2022","Priya Sharma","State of Gujarat","2023-06-15","Justice A. Rao, Justice V. Bhatia","J U D G M E N T CRIMINAL APPEAL NO. 6705 OF 2022. The appellant was accused of committing fraud against a financial institution. The court found insufficient evidence and acquitted the appellant."
"82","Appeal (civil) 8401 of 2021","HDFC Bank Limited","Reserve Bank of India","2022-07-30","Justice P. Jain, Justice M. Sinha","J U D G M E N T CIVIL APPEAL NO. 8401 OF 2021. The petitioner contested a fine imposed for regulatory violations. The court upheld the penalty, citing the importance of compliance in the banking sector."
"83","Appeal (criminal) 4910 of 2023","Karan Mehta","State of Tamil Nadu","2024-01-20","Justice R. Tripathi, Justice H. Kumar","J U D G M E N T CRIMINAL APPEAL NO. 4910 OF 2023. The appellant appealed against a conviction for assault. The court overturned the conviction due to lack of credible witness testimonies."
"84","Appeal (civil) 2345 of 2022","Larsen & Toubro","Government of Maharashtra","2023-04-02","Justice A. Kumar, Justice N. Verma","J U D G M E N T CIVIL APPEAL NO. 2345 OF 2022. The petitioner sought relief against the cancellation of a construction contract. The court reinstated the contract, emphasizing the importance of fair bidding processes."
"85","Appeal (criminal) 8674 of 2020","Rohan Choudhary","State of Uttarakhand","2021-12-18","Justice H. Agarwal, Justice K. Joshi","J U D G M E N T CRIMINAL APPEAL NO. 8674 OF 2020. The appellant was convicted for cybercrime. The court upheld the conviction, highlighting the need for strict laws against digital offenses."
"86","Appeal (civil) 6723 of 2023","Bharti Airtel Limited","Telecom Regulatory Authority of India","2024-05-05","Justice M. Roy, Justice A. Singh","J U D G M E N T CIVIL APPEAL NO. 6723 OF 2023. The petitioner challenged a regulatory fine for non-compliance with service norms. The court ruled in favor of the appellant, citing procedural errors in the imposition of the fine."
"87","Appeal (criminal) 5012 of 2021","Rahul Verma","State of Himachal Pradesh","2022-11-22","Justice K. Bhardwaj, Justice R. Prasad","J U D G M E N T CRIMINAL APPEAL NO. 5012 OF 2021. The appellant faced charges of environmental violations. The court dismissed the case due to lack of evidence proving intent."
"88","Appeal (civil) 1234 of 2024","Cognizant Technology Solutions","State Tax Department","2024-03-14","Justice R. Joshi, Justice A. Narayan","J U D G M E N T CIVIL APPEAL NO. 1234 OF 2024. The petitioner contested a tax liability assessment. The court ruled in favor of the appellant, stating that the tax assessment was arbitrary."
"89","Appeal (criminal) 7432 of 2022","Nisha Patel","State of Jharkhand","2023-09-10","Justice A. Raghunath, Justice T. Chaudhary","J U D G M E N T CRIMINAL APPEAL NO. 7432 OF 2022. The appellant was accused of embezzlement. The court acquitted the appellant, highlighting procedural irregularities in the investigation."
"90","Appeal (civil) 4567 of 2020","Maruti Suzuki India Limited","Consumer Forum","2021-04-26","Justice A. Narayanan, Justice H. Roy","J U D G M E N T CIVIL APPEAL NO. 4567 OF 2020. The petitioner challenged a decision by the Consumer Forum regarding warranty claims. The court ruled in favor of the appellant, affirming the warranty terms."
"91","Appeal (civil) 8791 of 2024","Infosys Limited","Central Board of Direct Taxes","2024-07-21","Justice V. Gupta, Justice A. Sharma","J U D G M E N T CIVIL APPEAL NO. 8791 OF 2024. The petitioner challenged a tax assessment for the previous fiscal year. The court ruled in favor of the appellant, citing inadequate justification for the tax liability."
"92","Appeal (criminal) 3150 of 2022","Kunal Ahuja","State of Rajasthan","2023-05-12","Justice R. Kumar, Justice H. Verma","J U D G M E N T CRIMINAL APPEAL NO. 3150 OF 2022. The appellant was charged with theft. The court acquitted the appellant due to lack of concrete evidence linking him to the crime."
"93","Appeal (civil) 4708 of 2021","Reliance Industries Limited","Environment Protection Authority","2022-10-08","Justice M. Iyer, Justice A. Sharma","J U D G M E N T CIVIL APPEAL NO. 4708 OF 2021. The petitioner appealed against environmental regulations imposed on their operations. The court ruled in favor of the appellant, citing regulatory overreach."
"94","Appeal (criminal) 2065 of 2023","Anjali Reddy","State of Andhra Pradesh","2024-02-17","Justice P. Kumar, Justice A. Nair","J U D G M E N T CRIMINAL APPEAL NO. 2065 OF 2023. The appellant faced charges of drug possession. The court overturned the conviction, citing unlawful search and seizure during arrest."
"95","Appeal (civil) 6403 of 2020","ICICI Bank Limited","National Consumer Disputes Redressal Commission","2021-06-30","Justice H. Verma, Justice K. Rao","J U D G M E N T CIVIL APPEAL NO. 6403 OF 2020. The petitioner contested a decision by the consumer commission regarding loan repayment terms. The court ruled in favor of the bank, affirming the loan agreement conditions."
"96","Appeal (criminal) 8504 of 2021","Rajesh Singh","State of Maharashtra","2022-09-18","Justice A. Kumar, Justice R. Joshi","J U D G M E N T CRIMINAL APPEAL NO. 8504 OF 2021. The appellant was convicted for DUI. The court ruled to uphold the conviction, stressing the seriousness of driving under the influence."
"97","Appeal (civil) 1923 of 2023","State Bank of India","Competition Commission of India","2024-03-11","Justice S. Iyer, Justice D. Choudhury","J U D G M E N T CIVIL APPEAL NO. 1923 OF 2023. The petitioner challenged a penalty imposed for anti-competitive practices. The court found the penalty unjustified and ruled in favor of the appellant."
"98","Appeal (criminal) 4219 of 2022","Sanjay Verma","State of Delhi","2023-08-14","Justice V. Mehta, Justice R. Tripathi","J U D G M E N T CRIMINAL APPEAL NO. 4219 OF 2022. The appellant was convicted for domestic violence. The court overturned the conviction due to lack of sufficient evidence."
"99","Appeal (civil) 5792 of 2024","Tata Consultancy Services","Ministry of Information Technology","2024-06-05","Justice R. Agarwal, Justice M. Sinha","J U D G M E N T CIVIL APPEAL NO. 5792 OF 2024. The petitioner sought relief against restrictions on data processing regulations. The court ruled in favor of the appellant, emphasizing the need for innovation in tech."
"100","Appeal (criminal) 3041 of 2021","Meera Jain","State of Kerala","2022-11-11","Justice A. Narayanan, Justice K. Raj","J U D G M E N T CRIMINAL APPEAL NO. 3041 OF 2021. The appellant was accused of tax evasion. The court acquitted the appellant, stating that the prosecution failed to establish a clear case."
"101","Appeal (civil) 7492 of 2024","HDFC Bank Limited","Reserve Bank of India","2024-08-10","Justice A. Bansal, Justice R. Rao","J U D G M E N T CIVIL APPEAL NO. 7492 OF 2024. The petitioner challenged a directive from the RBI regarding lending practices. The court ruled in favor of the bank, citing lack of evidence for regulatory concerns."
"102","Appeal (criminal) 2487 of 2022","Siddharth Rao","State of Karnataka","2023-07-23","Justice V. Joshi, Justice H. Verma","J U D G M E N T CRIMINAL APPEAL NO. 2487 OF 2022. The appellant was convicted for fraud. The court reversed the conviction, indicating procedural errors in the trial."
"103","Appeal (civil) 1384 of 2020","Mahatma Gandhi University","University Grants Commission","2021-09-15","Justice P. Kumar, Justice A. Roy","J U D G M E N T CIVIL APPEAL NO. 1384 OF 2020. The university contested funding cuts imposed by the UGC. The court ruled in favor of the university, emphasizing the importance of educational funding."
"104","Appeal (criminal) 9045 of 2021","Vikram Patel","State of Gujarat","2022-06-30","Justice A. Rao, Justice K. Tripathi","J U D G M E N T CRIMINAL APPEAL NO. 9045 OF 2021. The appellant faced charges of conspiracy. The court acquitted him due to insufficient evidence supporting the claims."
"105","Appeal (civil) 5067 of 2023","Tech Mahindra Limited","Ministry of Electronics and Information Technology","2024-02-14","Justice M. Sinha, Justice D. Kumar","J U D G M E N T CIVIL APPEAL NO. 5067 OF 2023. The petitioner challenged new compliance rules imposed by the Ministry. The court ruled in favor of the appellant, highlighting the regulations' undue burden."
"106","Appeal (criminal) 4235 of 2024","Ravi Mehta","State of Uttar Pradesh","2024-09-29","Justice A. Sharma, Justice V. Kumar","J U D G M E N T CRIMINAL APPEAL NO. 4235 OF 2024. The appellant was convicted for assault. The court overturned the conviction due to discrepancies in witness testimonies."
"107","Appeal (civil) 7823 of 2023","Bharti Airtel Limited","Telecom Regulatory Authority of India","2024-04-05","Justice H. Verma, Justice K. Joshi","J U D G M E N T CIVIL APPEAL NO. 7823 OF 2023. The petitioner contested a fine imposed by TRAI for service violations. The court ruled in favor of the telecom company, declaring the fine excessive."
"108","Appeal (criminal) 6578 of 2022","Neha Saini","State of Himachal Pradesh","2023-01-10","Justice R. Agarwal, Justice A. Mehta","J U D G M E N T CRIMINAL APPEAL NO. 6578 OF 2022. The appellant was accused of theft. The court acquitted her, citing a lack of direct evidence linking her to the crime."
"109","Appeal (civil) 4410 of 2021","Cognizant Technology Solutions","State of Tamil Nadu","2022-08-28","Justice M. Bansal, Justice H. Chaudhary","J U D G M E N T CIVIL APPEAL NO. 4410 OF 2021. The petitioner challenged tax assessments made by the state. The court ruled in favor of the petitioner, citing errors in the assessment process."
"110","Appeal (criminal) 3991 of 2023","Sunil Chaudhary","State of West Bengal","2024-02-24","Justice A. Rao, Justice V. Tripathi","J U D G M E N T CRIMINAL APPEAL NO. 3991 OF 2023. The appellant was convicted of drug trafficking. The court overturned the conviction, citing a lack of credible evidence."
"111","Appeal (civil) 2334 of 2024","Karan Industries","Ministry of Commerce","2024-05-15","Justice S. Mukherjee, Justice P. Sharma","J U D G M E N T CIVIL APPEAL NO. 2334 OF 2024. The petitioner challenged import restrictions imposed by the Ministry. The court ruled in favor of the petitioner, emphasizing the need for fair trade practices."
"112","Appeal (criminal) 5210 of 2021","Rajesh Kumar","State of Maharashtra","2022-10-12","Justice K. Singh, Justice R. Jain","J U D G M E N T CRIMINAL APPEAL NO. 5210 OF 2021. The appellant was convicted for robbery. The court acquitted him, citing irregularities in the evidence collection process."
"113","Appeal (civil) 8876 of 2023","Indira Gandhi National Open University","University Grants Commission","2024-03-01","Justice A. Sharma, Justice R. Varma","J U D G M E N T CIVIL APPEAL NO. 8876 OF 2023. The university contested a funding denial from the UGC. The court ruled in favor of the university, stating that it met all necessary criteria."
"114","Appeal (criminal) 6743 of 2024","Mohit Sharma","State of Punjab","2024-06-19","Justice V. Kumar, Justice H. Bansal","J U D G M E N T CRIMINAL APPEAL NO. 6743 OF 2024. The appellant was convicted for manslaughter. The court overturned the conviction, indicating a lack of intent."
"115","Appeal (civil) 5690 of 2022","Adani Group","Environmental Protection Agency","2023-09-22","Justice S. Rao, Justice M. Choudhury","J U D G M E N T CIVIL APPEAL NO. 5690 OF 2022. The petitioner challenged environmental compliance fines. The court ruled in favor of the petitioner, citing the absence of sufficient grounds for penalties."
"116","Appeal (criminal) 3884 of 2021","Sneha Verma","State of Kerala","2022-11-05","Justice A. Gupta, Justice R. Nair","J U D G M E N T CRIMINAL APPEAL NO. 3884 OF 2021. The appellant faced charges of fraud. The court dismissed the charges, highlighting the lack of concrete evidence against her."
"117","Appeal (civil) 4401 of 2023","Larsen & Toubro Limited","Ministry of Heavy Industries","2024-02-12","Justice M. Bansal, Justice H. Kapoor","J U D G M E N T CIVIL APPEAL NO. 4401 OF 2023. The petitioner contested a contract termination by the Ministry. The court ruled in favor of the petitioner, emphasizing contract obligations."
"118","Appeal (criminal) 1775 of 2022","Suresh Patil","State of Madhya Pradesh","2023-04-14","Justice K. Joshi, Justice R. Mehta","J U D G M E N T CRIMINAL APPEAL NO. 1775 OF 2022. The appellant was accused of drug possession. The court acquitted him due to procedural violations during the arrest."
"119","Appeal (civil) 7265 of 2024","Tata Consultancy Services","Department of Labor","2024-07-28","Justice A. Singh, Justice P. Joshi","J U D G M E N T CIVIL APPEAL NO. 7265 OF 2024. The petitioner challenged labor law fines imposed. The court ruled in favor of the company, stating the fines were unjustified."
"120","Appeal (criminal) 6542 of 2023","Amit Bhardwaj","State of Telangana","2024-01-08","Justice H. Rao, Justice M. Singh","J U D G M E N T CRIMINAL APPEAL NO. 6542 OF 2023. The appellant was convicted of assault. The court overturned the conviction, indicating a lack of credible evidence."
"121","Appeal (civil) 8892 of 2023","PVR Cinemas","Film Certification Board","2024-05-15","Justice R. Sharma, Justice K. Gupta","J U D G M E N T CIVIL APPEAL NO. 8892 OF 2023. The petitioner challenged the refusal of certification for a film. The court ruled in favor of PVR Cinemas, stating the decision was arbitrary."
"122","Appeal (criminal) 4590 of 2022","Ravi Choudhary","State of Rajasthan","2023-07-12","Justice A. Yadav, Justice S. Mehta","J U D G M E N T CRIMINAL APPEAL NO. 4590 OF 2022. The appellant was accused of theft. The court acquitted him, citing lack of direct evidence linking him to the crime."
"123","Appeal (civil) 2156 of 2024","Tata Steel Limited","Environmental Clearance Authority","2024-03-20","Justice H. Kumar, Justice P. Verma","J U D G M E N T CIVIL APPEAL NO. 2156 OF 2024. The petitioner contested the revocation of environmental clearance. The court ruled in favor of Tata Steel, emphasizing compliance with regulations."
"124","Appeal (criminal) 7684 of 2023","Nisha Sharma","State of Karnataka","2024-02-14","Justice K. Singh, Justice A. Rao","J U D G M E N T CRIMINAL APPEAL NO. 7684 OF 2023. The appellant was charged with fraud. The court found insufficient evidence to sustain the charges, resulting in her acquittal."
"125","Appeal (civil) 3778 of 2021","Infosys Technologies","Income Tax Department","2022-11-01","Justice P. Kapoor, Justice M. Nair","J U D G M E N T CIVIL APPEAL NO. 3778 OF 2021. The company challenged tax reassessments. The court ruled in favor of Infosys, stating the reassessment was not justified."
"126","Appeal (criminal) 5546 of 2022","Rahul Joshi","State of Gujarat","2023-06-30","Justice V. Iyer, Justice H. Choudhary","J U D G M E N T CRIMINAL APPEAL NO. 5546 OF 2022. The appellant was convicted for embezzlement. The court overturned the conviction due to procedural errors in the trial."
"127","Appeal (civil) 4301 of 2023","Flipkart","Consumer Protection Council","2024-01-17","Justice S. Roy, Justice A. Kumar","J U D G M E N T CIVIL APPEAL NO. 4301 OF 2023. The petitioner contested a consumer protection ruling against it. The court ruled in favor of Flipkart, emphasizing compliance with consumer laws."
"128","Appeal (criminal) 8234 of 2023","Alok Verma","State of Bihar","2024-04-20","Justice M. Bansal, Justice R. Singh","J U D G M E N T CRIMINAL APPEAL NO. 8234 OF 2023. The appellant was charged with assault. The court acquitted him, citing self-defense as the reason for his actions."
"129","Appeal (civil) 5998 of 2024","HDFC Bank Limited","Reserve Bank of India","2024-08-11","Justice R. Mehta, Justice H. Jain","J U D G M E N T CIVIL APPEAL NO. 5998 OF 2024. The petitioner challenged regulatory sanctions imposed by the RBI. The court ruled in favor of HDFC Bank, citing a lack of evidence for sanctions."
"130","Appeal (criminal) 7815 of 2023","Meera Kumari","State of Uttar Pradesh","2024-02-25","Justice A. Joshi, Justice K. Kapoor","J U D G M E N T CRIMINAL APPEAL NO. 7815 OF 2023. The appellant faced charges of harassment. The court acquitted her, ruling the evidence insufficient."
"131","Appeal (civil) 8472 of 2024","Reliance Industries Ltd.","Environmental Protection Agency","2024-09-01","Justice R. Nair, Justice V. Sharma","J U D G M E N T CIVIL APPEAL NO. 8472 OF 2024. The petitioner challenged the imposition of fines for environmental violations. The court ruled in favor of Reliance, stating the fines were excessive."
"132","Appeal (criminal) 3347 of 2023","Sanjay Kumar","State of Haryana","2024-05-05","Justice A. Roy, Justice K. Choudhary","J U D G M E N T CRIMINAL APPEAL NO. 3347 OF 2023. The appellant was charged with drug possession. The court acquitted him, citing illegal search and seizure."
"133","Appeal (civil) 9921 of 2024","Ola Electric","Central Motor Vehicle Authority","2024-06-14","Justice P. Gupta, Justice M. Khanna","J U D G M E N T CIVIL APPEAL NO. 9921 OF 2024. The petitioner disputed the recall of electric scooters. The court ruled in favor of Ola, emphasizing adherence to safety standards."
"134","Appeal (criminal) 1206 of 2022","Vinod Sethi","State of Punjab","2023-08-22","Justice H. Mehta, Justice S. Jain","J U D G M E N T CRIMINAL APPEAL NO. 1206 OF 2022. The appellant was convicted of assault. The court overturned the conviction due to lack of evidence."
"135","Appeal (civil) 5754 of 2023","Birla Corporation","Ministry of Corporate Affairs","2024-03-09","Justice R. Patil, Justice K. Vasishta","J U D G M E N T CIVIL APPEAL NO. 5754 OF 2023. The petitioner contested regulatory penalties imposed for corporate misconduct. The court ruled in favor of Birla Corporation, citing procedural errors."
"136","Appeal (criminal) 8801 of 2022","Anita Mehra","State of Maharashtra","2023-10-18","Justice A. Joshi, Justice M. Tiwari","J U D G M E N T CRIMINAL APPEAL NO. 8801 OF 2022. The appellant was accused of fraud. The court acquitted her, citing insufficient evidence."
"137","Appeal (civil) 1135 of 2024","Zomato","Food Safety Authority","2024-04-30","Justice K. Sharma, Justice R. Nair","J U D G M E N T CIVIL APPEAL NO. 1135 OF 2024. The petitioner challenged the suspension of its food license. The court ruled in favor of Zomato, citing compliance with safety regulations."
"138","Appeal (criminal) 6890 of 2023","Deepak Verma","State of West Bengal","2024-02-16","Justice A. Bansal, Justice S. Roy","J U D G M E N T CRIMINAL APPEAL NO. 6890 OF 2023. The appellant was convicted for theft. The court acquitted him, citing alibi evidence."
"139","Appeal (civil) 4563 of 2023","Wipro Limited","Ministry of Electronics","2024-01-12","Justice M. Nair, Justice H. Bhatia","J U D G M E N T CIVIL APPEAL NO. 4563 OF 2023. The petitioner contested sanctions related to electronic waste management. The court ruled in favor of Wipro, emphasizing adherence to regulations."
"140","Appeal (criminal) 8872 of 2022","Prakash Singh","State of Delhi","2023-09-14","Justice K. Kapoor, Justice R. Choudhary","J U D G M E N T CRIMINAL APPEAL NO. 8872 OF 2022. The appellant was accused of assaulting a police officer. The court acquitted him due to lack of evidence."
"141","Appeal (civil) 2394 of 2024","HDFC Bank","Consumer Forum","2024-07-05","Justice N. Malhotra, Justice K. Bhatia","J U D G M E N T CIVIL APPEAL NO. 2394 OF 2024. The petitioner challenged a decision regarding consumer rights violations. The court ruled in favor of HDFC, citing lack of evidence against the bank."
"142","Appeal (criminal) 7711 of 2023","Rajesh Kapoor","State of Rajasthan","2023-12-02","Justice P. Sharma, Justice R. Iyer","J U D G M E N T CRIMINAL APPEAL NO. 7711 OF 2023. The appellant was convicted for robbery. The court overturned the conviction, citing procedural errors in the trial."
"143","Appeal (civil) 1845 of 2023","Bharat Petroleum Corporation","Ministry of Petroleum","2024-08-10","Justice A. Nair, Justice S. Patil","J U D G M E N T CIVIL APPEAL NO. 1845 OF 2023. The petitioner contested new regulations on fuel pricing. The court ruled in favor of Bharat Petroleum, emphasizing industry standards."
"144","Appeal (criminal) 9060 of 2024","Suresh Dutta","State of Gujarat","2024-02-18","Justice K. Verma, Justice M. Iyer","J U D G M E N T CRIMINAL APPEAL NO. 9060 OF 2024. The appellant was accused of domestic violence. The court acquitted him, citing lack of corroborative evidence."
"145","Appeal (civil) 4208 of 2024","Infosys Ltd.","Securities and Exchange Board of India","2024-03-24","Justice V. Chaudhary, Justice R. Kumar","J U D G M E N T CIVIL APPEAL NO. 4208 OF 2024. The petitioner challenged sanctions imposed for insider trading. The court ruled in favor of Infosys, finding SEBI's actions unjustified."
"146","Appeal (criminal) 5643 of 2023","Anjali Mehta","State of Uttar Pradesh","2023-11-29","Justice M. Sharma, Justice H. Agarwal","J U D G M E N T CRIMINAL APPEAL NO. 5643 OF 2023. The appellant was convicted for fraud. The court found insufficient evidence to uphold the conviction."
"147","Appeal (civil) 7789 of 2024","Tata Motors","Central Pollution Control Board","2024-05-14","Justice R. Sethi, Justice V. Sinha","J U D G M E N T CIVIL APPEAL NO. 7789 OF 2024. The petitioner contested penalties for environmental violations. The court ruled in favor of Tata Motors, emphasizing compliance with existing laws."
"148","Appeal (criminal) 8491 of 2023","Vikram Singh","State of Maharashtra","2024-01-08","Justice K. Jha, Justice P. Kumar","J U D G M E N T CRIMINAL APPEAL NO. 8491 OF 2023. The appellant was convicted for a hit-and-run case. The court acquitted him, citing lack of direct evidence linking him to the incident."
"149","Appeal (civil) 3120 of 2024","State Bank of India","Consumer Complaints Commission","2024-06-19","Justice M. Chaudhary, Justice A. Iyer","J U D G M E N T CIVIL APPEAL NO. 3120 OF 2024. The petitioner challenged a ruling regarding unauthorized transaction claims. The court ruled in favor of SBI, emphasizing proper protocol followed."
"150","Appeal (criminal) 6450 of 2023","Nisha Gupta","State of Delhi","2023-07-25","Justice S. Bansal, Justice R. Nair","J U D G M E N T CRIMINAL APPEAL NO. 6450 OF 2023. The appellant was charged with conspiracy. The court acquitted her due to lack of substantial evidence."
"151","Appeal (civil) 4923 of 2024","Mahindra & Mahindra Ltd.","State of Punjab","2024-09-10","Justice A. Chatterjee, Justice P. Agarwal","J U D G M E N T CIVIL APPEAL NO. 4923 OF 2024. The petitioner contested land acquisition compensation. The court ruled in favor of Mahindra, adjusting the compensation rate."
"152","Appeal (criminal) 1376 of 2023","Ravi Verma","Union of India","2023-11-15","Justice K. Sharma, Justice A. Iyer","J U D G M E N T CRIMINAL APPEAL NO. 1376 OF 2023. The appellant was convicted for drug possession. The court overturned the conviction due to unlawful search procedures."
"153","Appeal (civil) 8694 of 2024","Tata Steel","Environmental Protection Agency","2024-02-20","Justice P. Nair, Justice V. Rao","J U D G M E N T CIVIL APPEAL NO. 8694 OF 2024. The petitioner challenged a fine imposed for environmental breaches. The court ruled in favor of Tata Steel, citing compliance efforts."
"154","Appeal (criminal) 2583 of 2023","Ankit Joshi","State of Kerala","2023-10-09","Justice R. Kapoor, Justice H. Patil","J U D G M E N T CRIMINAL APPEAL NO. 2583 OF 2023. The appellant was convicted for theft. The court overturned the decision, citing insufficient evidence."
"155","Appeal (civil) 3352 of 2024","Reliance Industries","Ministry of Corporate Affairs","2024-03-15","Justice A. Sharma, Justice M. Singh","J U D G M E N T CIVIL APPEAL NO. 3352 OF 2024. The petitioner contested a directive related to corporate governance. The court upheld the petitioner’s compliance measures."
"156","Appeal (criminal) 4059 of 2023","Priya Choudhary","State of Tamil Nadu","2023-06-28","Justice V. Patil, Justice R. Mehta","J U D G M E N T CRIMINAL APPEAL NO. 4059 OF 2023. The appellant was charged with assault. The court acquitted her due to lack of evidence and corroborating witnesses."
"157","Appeal (civil) 5634 of 2024","Zomato Ltd.","Food Safety Authority","2024-04-08","Justice M. Nair, Justice K. Agarwal","J U D G M E N T CIVIL APPEAL NO. 5634 OF 2024. The petitioner contested a penalty for food safety violations. The court ruled in favor of Zomato, emphasizing adherence to safety standards."
"158","Appeal (criminal) 1290 of 2023","Vikrant Saini","State of Haryana","2023-09-22","Justice A. Kapoor, Justice P. Iyer","J U D G M E N T CRIMINAL APPEAL NO. 1290 OF 2023. The appellant was convicted for embezzlement. The court overturned the conviction, citing procedural errors in the investigation."
"159","Appeal (civil) 7841 of 2024","Vodafone Idea","Telecom Regulatory Authority of India","2024-01-11","Justice K. Sharma, Justice S. Bhatia","J U D G M E N T CIVIL APPEAL NO. 7841 OF 2024. The petitioner challenged fines imposed for non-compliance. The court ruled in favor of Vodafone, citing regulatory overreach."
"160","Appeal (criminal) 4115 of 2023","Deepak Kumar","State of West Bengal","2023-08-30","Justice H. Nair, Justice R. Mehta","J U D G M E N T CRIMINAL APPEAL NO. 4115 OF 2023. The appellant was convicted for public disorder. The court acquitted him due to insufficient evidence and lack of credible witnesses."
"161","Appeal (civil) 3762 of 2024","Infosys Ltd.","Ministry of Electronics and Information Technology","2024-02-05","Justice S. Iyer, Justice A. Kumar","J U D G M E N T CIVIL APPEAL NO. 3762 OF 2024. The petitioner challenged a directive regarding data privacy regulations. The court ruled in favor of Infosys, emphasizing compliance."
"162","Appeal (criminal) 2385 of 2023","Meena Rao","State of Andhra Pradesh","2023-07-15","Justice R. Verma, Justice K. Bansal","J U D G M E N T CRIMINAL APPEAL NO. 2385 OF 2023. The appellant was accused of fraud. The court dismissed the charges, citing a lack of corroborative evidence."
"163","Appeal (civil) 8451 of 2024","HDFC Bank","Reserve Bank of India","2024-03-30","Justice M. Roy, Justice V. Sharma","J U D G M E N T CIVIL APPEAL NO. 8451 OF 2024. The petitioner contested penalties for non-compliance with banking regulations. The court ruled in favor of HDFC, emphasizing compliance efforts."
"164","Appeal (criminal) 5734 of 2023","Suresh Dutt","State of Rajasthan","2023-05-22","Justice A. Gupta, Justice P. Kumar","J U D G M E N T CRIMINAL APPEAL NO. 5734 OF 2023. The appellant was convicted for assault. The court overturned the conviction, citing lack of direct evidence."
"165","Appeal (civil) 9123 of 2024","Wipro Technologies","Labour Department of Karnataka","2024-01-15","Justice R. Iyer, Justice M. Rao","J U D G M E N T CIVIL APPEAL NO. 9123 OF 2024. The petitioner challenged a labor violation fine. The court ruled in favor of Wipro, stating adherence to labor laws."
"166","Appeal (criminal) 4170 of 2023","Laxmi Singh","State of Himachal Pradesh","2023-11-01","Justice K. Singh, Justice V. Bansal","J U D G M E N T CRIMINAL APPEAL NO. 4170 OF 2023. The appellant faced charges of theft. The court acquitted her, citing insufficient evidence."
"167","Appeal (civil) 3412 of 2024","Cognizant Technology Solutions","Tax Department","2024-06-12","Justice A. Nair, Justice P. Mehta","J U D G M E N T CIVIL APPEAL NO. 3412 OF 2024. The petitioner contested tax reassessment. The court ruled in favor of Cognizant, emphasizing prior compliance."
"168","Appeal (criminal) 6825 of 2023","Ajay Raghav","State of Madhya Pradesh","2023-09-18","Justice R. Patil, Justice K. Sharma","J U D G M E N T CRIMINAL APPEAL NO. 6825 OF 2023. The appellant was accused of corruption. The court acquitted him due to lack of evidence and procedural irregularities."
"169","Appeal (civil) 2220 of 2024","Hindustan Aeronautics Ltd.","Ministry of Defence","2024-07-23","Justice M. Chatterjee, Justice P. Agarwal","J U D G M E N T CIVIL APPEAL NO. 2220 OF 2024. The petitioner challenged government contracts. The court ruled in favor of HAL, citing procedural compliance."
"170","Appeal (criminal) 7888 of 2023","Rahul Yadav","State of Uttarakhand","2023-10-12","Justice P. Sharma, Justice H. Singh","J U D G M E N T CRIMINAL APPEAL NO. 7888 OF 2023. The appellant was convicted for illegal possession of firearms. The court acquitted him due to evidence tampering."
"171","Appeal (civil) 1421 of 2024","Tata Motors","Environmental Protection Agency","2024-02-18","Justice R. Mehta, Justice A. Iyer","J U D G M E N T CIVIL APPEAL NO. 1421 OF 2024. The petitioner contested environmental compliance penalties. The court ruled in favor of Tata Motors, stating adherence to environmental regulations."
"172","Appeal (criminal) 3998 of 2023","Rajesh Mehta","State of Kerala","2023-11-05","Justice K. Nair, Justice V. Sharma","J U D G M E N T CRIMINAL APPEAL NO. 3998 OF 2023. The appellant was accused of smuggling. The court acquitted him, citing lack of sufficient evidence."
"173","Appeal (civil) 6534 of 2024","Bajaj Finserv","Reserve Bank of India","2024-04-10","Justice P. Bansal, Justice M. Gupta","J U D G M E N T CIVIL APPEAL NO. 6534 OF 2024. The petitioner challenged a fine for regulatory non-compliance. The court ruled in favor of Bajaj, emphasizing due process in financial regulation."
"174","Appeal (criminal) 8827 of 2023","Kiran Agarwal","State of West Bengal","2023-08-22","Justice R. Patil, Justice A. Das","J U D G M E N T CRIMINAL APPEAL NO. 8827 OF 2023. The appellant was charged with harassment. The court found insufficient evidence and acquitted the appellant."
